TC3 scheduled/num_streams 123/173 = 71.1%
k: 3 (25.0, '%', 'unscheduled', 18, 'total', 24, 'e2e too large', [44, 115, 140, 56, 122, 31, 12, 142, 157, 21, 34, 33, 165, 68, 163, 123, 147, 160], 'bandwidth violation', [])
 cycle_time: 500us bandwidth: 31250.0bytes k: 2 (73.0, '%', 'unscheduled', 14, 'total', 52, 'e2e too large', [170, 134, 132, 137, 158, 69, 136, 15, 101, 153, 19, 106, 84, 133], 'bandwidth violation', [])
 cycle_time: 250us bandwidth: 15625.0bytes k: 1 (81.0, '%', 'unscheduled', 18, 'total', 97, 'e2e too large', [150, 159, 18, 0, 27, 89, 40, 60, 30, 95], 'bandwidth violation', [29, 55, 85, 80, 104, 16, 88, 148])
Stream: id 43 | k_group 1 | q_n 3 | node0_0_2_3->node0_0_1_2 | period 20.0| deadline 6.336 | size 1275| injection delay:0['node0_0_2_3', 'sw_0_2', 'sw_0_1', 'node0_0_1_2']['q7', 'q6']
Stream: id 149 | k_group 1 | q_n 3 | node0_0_4_0->node0_0_0_0 | period 8.0| deadline 6.36 | size 770| injection delay:0['node0_0_4_0', 'sw_0_4', 'sw_0_5', 'sw_0_0', 'node0_0_0_0']['q6', 'q7', 'q6']
Stream: id 79 | k_group 1 | q_n 3 | node0_0_4_0->node0_0_1_2 | period 40.0| deadline 6.384 | size 756| injection delay:0['node0_0_4_0', 'sw_0_4', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'node0_0_1_2']['q7', 'q5', 'q7', 'q6']
Stream: id 120 | k_group 1 | q_n 3 | node0_0_2_3->node0_0_1_0 | period 40.0| deadline 6.4 | size 458| injection delay:0['node0_0_2_3', 'sw_0_2', 'sw_0_1', 'node0_0_1_0']['q6', 'q7']
Stream: id 129 | k_group 1 | q_n 3 | node0_0_4_3->node0_0_4_1 | period 20.0| deadline 6.416 | size 847| injection delay:0['node0_0_4_3', 'sw_0_4', 'node0_0_4_1']['q7']
Stream: id 95 | k_group 1 | q_n 3 | node0_0_2_3->node0_0_1_2 | period 8.0| deadline 6.432 | size 789| injection delay:0['node0_0_2_3', 'sw_0_2', 'sw_0_3', 'sw_0_4', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'node0_0_1_2']['q7', 'q6', 'q5', 'q7', 'q6', 'q7']
Stream: id 172 | k_group 1 | q_n 3 | node0_0_2_1->node0_0_4_1 | period 20.0| deadline 6.432 | size 1290| injection delay:0['node0_0_2_1', 'sw_0_2', 'sw_0_3', 'sw_0_4', 'node0_0_4_1']['q7', 'q5', 'q6']
Stream: id 7 | k_group 1 | q_n 3 | node0_0_4_3->node0_0_1_1 | period 20.0| deadline 6.464 | size 1262| injection delay:1['node0_0_4_3', 'sw_0_4', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'node0_0_1_1']['q7', 'q6', 'q5', 'q7']
Stream: id 75 | k_group 1 | q_n 3 | node0_0_5_1->node0_0_1_0 | period 8.0| deadline 6.488 | size 189| injection delay:1['node0_0_5_1', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'node0_0_1_0']['q7', 'q6', 'q5']
Stream: id 16 | k_group 1 | q_n 3 | node0_0_5_2->node0_0_1_0 | period 40.0| deadline 6.52 | size 1387| injection delay:0['node0_0_5_2', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'node0_0_1_0']['q6', 'q7', 'q6']
Stream: id 130 | k_group 1 | q_n 3 | node0_0_2_3->node0_0_2_2 | period 20.0| deadline 6.584 | size 1308| injection delay:0['node0_0_2_3', 'sw_0_2', 'node0_0_2_2']['q6']
Stream: id 88 | k_group 1 | q_n 3 | node0_0_4_3->node0_0_1_1 | period 8.0| deadline 6.592 | size 1380| injection delay:0['node0_0_4_3', 'sw_0_4', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'node0_0_1_1']['q7', 'q6', 'q5', 'q7']
Stream: id 72 | k_group 1 | q_n 3 | node0_0_2_3->node0_0_1_1 | period 20.0| deadline 6.64 | size 638| injection delay:0['node0_0_2_3', 'sw_0_2', 'sw_0_1', 'node0_0_1_1']['q7', 'q6']
Stream: id 92 | k_group 1 | q_n 3 | node0_0_5_3->node0_0_4_1 | period 40.0| deadline 6.696 | size 638| injection delay:0['node0_0_5_3', 'sw_0_5', 'sw_0_4', 'node0_0_4_1']['q7', 'q6']
Stream: id 6 | k_group 1 | q_n 3 | node0_0_4_0->node0_0_0_2 | period 8.0| deadline 6.744 | size 475| injection delay:0['node0_0_4_0', 'sw_0_4', 'sw_0_3', 'sw_0_2', 'sw_0_1', 'sw_0_0', 'node0_0_0_2']['q7', 'q6', 'q5', 'q7', 'q6']
Stream: id 81 | k_group 1 | q_n 3 | node0_0_5_0->node0_0_0_0 | period 20.0| deadline 6.744 | size 698| injection delay:0['node0_0_5_0', 'sw_0_5', 'sw_0_0', 'node0_0_0_0']['q7', 'q6']
Stream: id 64 | k_group 1 | q_n 3 | node0_0_5_1->node0_0_2_2 | period 8.0| deadline 6.76 | size 667| injection delay:1['node0_0_5_1', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'sw_0_2', 'node0_0_2_2']['q7', 'q6', 'q5', 'q7']
Stream: id 99 | k_group 1 | q_n 3 | node0_0_2_1->node0_0_1_0 | period 20.0| deadline 6.768 | size 707| injection delay:1['node0_0_2_1', 'sw_0_2', 'sw_0_1', 'node0_0_1_0']['q7', 'q6']
Stream: id 13 | k_group 1 | q_n 3 | node0_0_5_1->node0_0_1_1 | period 40.0| deadline 6.824 | size 1231| injection delay:0['node0_0_5_1', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'node0_0_1_1']['q6', 'q5', 'q6']
Stream: id 29 | k_group 1 | q_n 3 | node0_0_5_2->node0_0_1_1 | period 8.0| deadline 6.832 | size 1294| injection delay:0['node0_0_5_2', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'node0_0_1_1']['q7', 'q5', 'q7']
Stream: id 104 | k_group 1 | q_n 3 | node0_0_5_0->node0_0_2_0 | period 8.0| deadline 6.848 | size 1183| injection delay:0['node0_0_5_0', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'sw_0_2', 'node0_0_2_0']['q7', 'q6', 'q5', 'q7']
Stream: id 59 | k_group 1 | q_n 3 | node0_0_4_3->node0_0_1_2 | period 8.0| deadline 6.856 | size 1298| injection delay:1['node0_0_4_3', 'sw_0_4', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'node0_0_1_2']['q7', 'q6', 'q5', 'q7']
Stream: id 38 | k_group 1 | q_n 3 | node0_0_1_3->node0_0_0_2 | period 40.0| deadline 6.88 | size 843| injection delay:0['node0_0_1_3', 'sw_0_1', 'sw_0_0', 'node0_0_0_2']['q7', 'q6']
Stream: id 112 | k_group 1 | q_n 3 | node0_0_0_1->node0_0_2_2 | period 8.0| deadline 6.888 | size 1292| injection delay:0['node0_0_0_1', 'sw_0_0', 'sw_0_1', 'sw_0_2', 'node0_0_2_2']['q7', 'q6', 'q5']
Stream: id 61 | k_group 1 | q_n 3 | node0_0_0_1->node0_0_4_1 | period 40.0| deadline 6.904 | size 519| injection delay:0['node0_0_0_1', 'sw_0_0', 'sw_0_5', 'sw_0_4', 'node0_0_4_1']['q6', 'q5', 'q7']
Stream: id 77 | k_group 1 | q_n 3 | node0_0_4_3->node0_0_0_2 | period 8.0| deadline 6.968 | size 526| injection delay:0['node0_0_4_3', 'sw_0_4', 'sw_0_5', 'sw_0_0', 'node0_0_0_2']['q7', 'q6', 'q7']
Stream: id 128 | k_group 1 | q_n 3 | node0_0_0_1->node0_0_1_2 | period 40.0| deadline 7.04 | size 1003| injection delay:0['node0_0_0_1', 'sw_0_0', 'sw_0_1', 'node0_0_1_2']['q7', 'q6']
Stream: id 169 | k_group 1 | q_n 3 | node0_0_1_3->node0_0_4_1 | period 40.0| deadline 7.056 | size 605| injection delay:1['node0_0_1_3', 'sw_0_1', 'sw_0_0', 'sw_0_5', 'sw_0_4', 'node0_0_4_1']['q7', 'q6', 'q5', 'q6']
Stream: id 11 | k_group 1 | q_n 3 | node0_0_5_3->node0_0_4_1 | period 20.0| deadline 7.104 | size 816| injection delay:0['node0_0_5_3', 'sw_0_5', 'sw_0_4', 'node0_0_4_1']['q7', 'q5']
Stream: id 118 | k_group 1 | q_n 3 | node0_0_0_1->node0_0_0_0 | period 40.0| deadline 7.16 | size 1170| injection delay:1['node0_0_0_1', 'sw_0_0', 'node0_0_0_0']['q7']
Stream: id 39 | k_group 1 | q_n 3 | node0_0_4_3->node0_0_4_1 | period 8.0| deadline 7.168 | size 884| injection delay:0['node0_0_4_3', 'sw_0_4', 'node0_0_4_1']['q7']
Stream: id 127 | k_group 1 | q_n 3 | node0_0_0_3->node0_0_1_0 | period 20.0| deadline 7.176 | size 1137| injection delay:0['node0_0_0_3', 'sw_0_0', 'sw_0_1', 'node0_0_1_0']['q7', 'q6']
Stream: id 35 | k_group 1 | q_n 3 | node0_0_4_3->node0_0_4_1 | period 8.0| deadline 7.208 | size 836| injection delay:0['node0_0_4_3', 'sw_0_4', 'node0_0_4_1']['q6']
Stream: id 170 | k_group 2 | q_n 2 | node0_0_5_0->node0_0_2_0 | period 10.0| deadline 3.612 | size 671| injection delay:0['node0_0_5_0', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'sw_0_2', 'node0_0_2_0']['q4', 'q3', 'q4', 'q3']
Stream: id 134 | k_group 2 | q_n 2 | node0_0_5_2->node0_0_1_1 | period 10.0| deadline 3.644 | size 1270| injection delay:0['node0_0_5_2', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'node0_0_1_1']['q4', 'q3', 'q4']
Stream: id 132 | k_group 2 | q_n 2 | node0_0_5_2->node0_0_1_0 | period 4.0| deadline 3.648 | size 793| injection delay:0['node0_0_5_2', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'node0_0_1_0']['q4', 'q3', 'q4']
Stream: id 137 | k_group 2 | q_n 2 | node0_0_4_3->node0_0_2_2 | period 4.0| deadline 3.676 | size 697| injection delay:0['node0_0_4_3', 'sw_0_4', 'sw_0_3', 'sw_0_2', 'node0_0_2_2']['q4', 'q3', 'q4']
