TC2 scheduled/num_streams 154/260 = 59.23%
k: 3 (47.0, '%', 'unscheduled', 17, 'total', 32, 'e2e too large', [204, 131, 124, 79, 82, 59, 180, 73, 202, 24, 168, 58, 169, 61, 26, 93, 220], 'bandwidth violation', [])
 cycle_time: 250us bandwidth: 3750.0bytes k: 2 (87.0, '%', 'unscheduled', 8, 'total', 63, 'e2e too large', [193, 16], 'bandwidth violation', [157, 146, 71, 158, 76, 144])
 cycle_time: 125us bandwidth: 3750.0bytes k: 1 (51.0, '%', 'unscheduled', 81, 'total', 165, 'e2e too large', [], 'bandwidth violation', [122, 165, 182, 213, 30, 255, 56, 0, 245, 135, 172, 174, 191, 119, 29, 9, 214, 89, 50, 243, 95, 248, 111, 250, 55, 132, 252, 17, 181, 53, 142, 110, 236, 162, 52, 156, 199, 203, 259, 139, 40, 230, 147, 242, 224, 23, 104, 20, 235, 258, 32, 137, 36, 1, 13, 175, 22, 173, 231, 205, 208, 210, 226, 69, 195, 103, 246, 27, 65, 48, 47, 123, 167, 12, 91, 100, 21, 211, 72, 149, 77])
Stream: id 95 | k_group 1 | q_n 3 | node0_0_0_4->node0_0_4_3 | period 40.0| deadline 27.36 | size 1360| injection delay:0['node0_0_0_4', 'sw_0_0', 'sw_0_5', 'sw_0_4', 'node0_0_4_3']['q7', 'q5', 'q6']
Stream: id 20 | k_group 1 | q_n 3 | node0_0_2_2->node0_0_3_2 | period 40.0| deadline 28.68 | size 984| injection delay:0['node0_0_2_2', 'sw_0_2', 'sw_0_3', 'node0_0_3_2']['q6', 'q5']
Stream: id 77 | k_group 1 | q_n 3 | node0_0_5_1->node0_0_4_3 | period 100.0| deadline 25.04 | size 779| injection delay:0['node0_0_5_1', 'sw_0_5', 'sw_0_4', 'node0_0_4_3']['q7', 'q5']
Stream: id 91 | k_group 1 | q_n 3 | node0_0_2_1->node0_0_4_3 | period 100.0| deadline 23.04 | size 1446| injection delay:1['node0_0_2_1', 'sw_0_2', 'sw_0_3', 'sw_0_4', 'node0_0_4_3']['q6', 'q5', 'q7']
Stream: id 108 | k_group 1 | q_n 3 | node0_0_2_2->node0_0_5_2 | period 40.0| deadline 30.6 | size 368| injection delay:1['node0_0_2_2', 'sw_0_2', 'sw_0_1', 'sw_0_0', 'sw_0_5', 'node0_0_5_2']['q7', 'q6', 'q7', 'q6']
Stream: id 8 | k_group 1 | q_n 3 | node0_0_2_3->node0_0_2_4 | period 40.0| deadline 28.28 | size 1176| injection delay:1['node0_0_2_3', 'sw_0_2', 'node0_0_2_4']['q7']
Stream: id 206 | k_group 1 | q_n 3 | node0_0_4_1->node0_0_4_0 | period 40.0| deadline 29.16 | size 940| injection delay:0['node0_0_4_1', 'sw_0_4', 'node0_0_4_0']['q7']
Stream: id 195 | k_group 1 | q_n 3 | node0_0_4_1->node0_0_3_0 | period 40.0| deadline 28.0 | size 1411| injection delay:1['node0_0_4_1', 'sw_0_4', 'sw_0_3', 'node0_0_3_0']['q7', 'q6']
Stream: id 170 | k_group 1 | q_n 3 | node0_0_2_1->node0_0_0_1 | period 40.0| deadline 31.32 | size 305| injection delay:0['node0_0_2_1', 'sw_0_2', 'sw_0_1', 'sw_0_0', 'node0_0_0_1']['q7', 'q6', 'q5']
Stream: id 97 | k_group 1 | q_n 3 | node0_0_2_1->node0_0_0_0 | period 40.0| deadline 31.04 | size 410| injection delay:1['node0_0_2_1', 'sw_0_2', 'sw_0_1', 'sw_0_0', 'node0_0_0_0']['q6', 'q7', 'q6']
Stream: id 115 | k_group 1 | q_n 3 | node0_0_2_0->node0_0_5_3 | period 40.0| deadline 30.68 | size 579| injection delay:1['node0_0_2_0', 'sw_0_2', 'sw_0_1', 'sw_0_0', 'sw_0_5', 'node0_0_5_3']['q7', 'q6', 'q5', 'q7']
Stream: id 48 | k_group 1 | q_n 3 | node0_0_0_3->node0_0_4_2 | period 100.0| deadline 25.68 | size 856| injection delay:0['node0_0_0_3', 'sw_0_0', 'sw_0_5', 'sw_0_4', 'node0_0_4_2']['q6', 'q7', 'q5']
Stream: id 167 | k_group 1 | q_n 3 | node0_0_0_4->node0_0_4_3 | period 40.0| deadline 30.08 | size 849| injection delay:0['node0_0_0_4', 'sw_0_0', 'sw_0_5', 'sw_0_4', 'node0_0_4_3']['q6', 'q5', 'q7']
Stream: id 235 | k_group 1 | q_n 3 | node0_0_2_3->node0_0_3_2 | period 100.0| deadline 25.88 | size 853| injection delay:1['node0_0_2_3', 'sw_0_2', 'sw_0_3', 'node0_0_3_2']['q7', 'q6']
Stream: id 203 | k_group 1 | q_n 3 | node0_0_4_1->node0_0_3_3 | period 100.0| deadline 24.92 | size 1182| injection delay:0['node0_0_4_1', 'sw_0_4', 'sw_0_3', 'node0_0_3_3']['q7', 'q6']
Stream: id 215 | k_group 1 | q_n 3 | node0_0_2_3->node0_0_2_4 | period 40.0| deadline 31.32 | size 489| injection delay:0['node0_0_2_3', 'sw_0_2', 'node0_0_2_4']['q6']
Stream: id 13 | k_group 1 | q_n 3 | node0_0_5_0->node0_0_4_0 | period 100.0| deadline 26.16 | size 819| injection delay:1['node0_0_5_0', 'sw_0_5', 'sw_0_4', 'node0_0_4_0']['q7', 'q6']
Stream: id 243 | k_group 1 | q_n 3 | node0_0_0_3->node0_0_3_2 | period 100.0| deadline 24.56 | size 1474| injection delay:0['node0_0_0_3', 'sw_0_0', 'sw_0_5', 'sw_0_4', 'sw_0_3', 'node0_0_3_2']['q7', 'q6', 'q7', 'q6']
Stream: id 33 | k_group 1 | q_n 3 | node0_0_0_3->node0_0_3_2 | period 100.0| deadline 26.92 | size 729| injection delay:1['node0_0_0_3', 'sw_0_0', 'sw_0_1', 'sw_0_2', 'sw_0_3', 'node0_0_3_2']['q7', 'q5', 'q7', 'q6']
Stream: id 241 | k_group 1 | q_n 3 | node0_0_5_4->node0_0_0_1 | period 200.0| deadline 21.76 | size 232| injection delay:0['node0_0_5_4', 'sw_0_5', 'sw_0_0', 'node0_0_0_1']['q6', 'q7']
Stream: id 2 | k_group 1 | q_n 3 | node0_0_0_4->node0_0_0_1 | period 40.0| deadline 31.44 | size 887| injection delay:0['node0_0_0_4', 'sw_0_0', 'node0_0_0_1']['q7']
Stream: id 201 | k_group 1 | q_n 3 | node0_0_2_1->node0_0_5_3 | period 40.0| deadline 32.64 | size 494| injection delay:0['node0_0_2_1', 'sw_0_2', 'sw_0_1', 'sw_0_0', 'sw_0_5', 'node0_0_5_3']['q7', 'q5', 'q6', 'q5']
Stream: id 111 | k_group 1 | q_n 3 | node0_0_0_2->node0_0_4_2 | period 100.0| deadline 26.44 | size 1197| injection delay:0['node0_0_0_2', 'sw_0_0', 'sw_0_5', 'sw_0_4', 'node0_0_4_2']['q7', 'q6', 'q5']
Stream: id 119 | k_group 1 | q_n 3 | node0_0_2_1->node0_0_4_3 | period 100.0| deadline 28.84 | size 475| injection delay:0['node0_0_2_1', 'sw_0_2', 'sw_0_3', 'sw_0_4', 'node0_0_4_3']['q7', 'q5', 'q7']
Stream: id 29 | k_group 1 | q_n 3 | node0_0_5_4->node0_0_5_3 | period 40.0| deadline 31.08 | size 1249| injection delay:0['node0_0_5_4', 'sw_0_5', 'node0_0_5_3']['q7']
Stream: id 120 | k_group 1 | q_n 3 | node0_0_4_1->node0_0_4_4 | period 200.0| deadline 21.68 | size 554| injection delay:0['node0_0_4_1', 'sw_0_4', 'node0_0_4_4']['q7']
Stream: id 226 | k_group 1 | q_n 3 | node0_0_5_1->node0_0_2_4 | period 200.0| deadline 21.64 | size 584| injection delay:1['node0_0_5_1', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'sw_0_2', 'node0_0_2_4']['q7', 'q6', 'q7', 'q5']
Stream: id 103 | k_group 1 | q_n 3 | node0_0_4_1->node0_0_3_4 | period 100.0| deadline 26.88 | size 1263| injection delay:1['node0_0_4_1', 'sw_0_4', 'sw_0_3', 'node0_0_3_4']['q7', 'q6']
Stream: id 127 | k_group 1 | q_n 3 | node0_0_0_4->node0_0_5_2 | period 40.0| deadline 33.56 | size 521| injection delay:0['node0_0_0_4', 'sw_0_0', 'sw_0_5', 'node0_0_5_2']['q7', 'q6']
Stream: id 197 | k_group 1 | q_n 3 | node0_0_3_1->node0_0_4_2 | period 40.0| deadline 34.4 | size 252| injection delay:0['node0_0_3_1', 'sw_0_3', 'sw_0_4', 'node0_0_4_2']['q7', 'q6']
Stream: id 174 | k_group 1 | q_n 3 | node0_0_2_2->node0_0_3_4 | period 200.0| deadline 22.12 | size 540| injection delay:0['node0_0_2_2', 'sw_0_2', 'sw_0_3', 'node0_0_3_4']['q7', 'q6']
Stream: id 217 | k_group 1 | q_n 3 | node0_0_5_4->node0_0_3_4 | period 100.0| deadline 29.36 | size 573| injection delay:0['node0_0_5_4', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'sw_0_2', 'sw_0_3', 'node0_0_3_4']['q6', 'q5', 'q6', 'q5', 'q6']
Stream: id 21 | k_group 1 | q_n 3 | node0_0_2_0->node0_0_4_0 | period 40.0| deadline 31.28 | size 1400| injection delay:1['node0_0_2_0', 'sw_0_2', 'sw_0_3', 'sw_0_4', 'node0_0_4_0']['q6', 'q5', 'q6']
Stream: id 0 | k_group 1 | q_n 3 | node0_0_2_1->node0_0_5_2 | period 100.0| deadline 28.36 | size 965| injection delay:0['node0_0_2_1', 'sw_0_2', 'sw_0_3', 'sw_0_4', 'sw_0_5', 'node0_0_5_2']['q7', 'q5', 'q7', 'q6']
Stream: id 151 | k_group 1 | q_n 3 | node0_0_5_4->node0_0_5_2 | period 200.0| deadline 22.72 | size 472| injection delay:0['node0_0_5_4', 'sw_0_5', 'node0_0_5_2']['q7']
Stream: id 27 | k_group 1 | q_n 3 | node0_0_0_4->node0_0_4_3 | period 40.0| deadline 32.28 | size 1131| injection delay:0['node0_0_0_4', 'sw_0_0', 'sw_0_5', 'sw_0_4', 'node0_0_4_3']['q6', 'q5', 'q7']
Stream: id 255 | k_group 1 | q_n 3 | node0_0_2_2->node0_0_3_0 | period 40.0| deadline 32.72 | size 1088| injection delay:0['node0_0_2_2', 'sw_0_2', 'sw_0_3', 'node0_0_3_0']['q7', 'q6']
Stream: id 173 | k_group 1 | q_n 3 | node0_0_2_1->node0_0_5_3 | period 100.0| deadline 29.64 | size 678| injection delay:1['node0_0_2_1', 'sw_0_2', 'sw_0_1', 'sw_0_0', 'sw_0_5', 'node0_0_5_3']['q7', 'q6', 'q5', 'q7']
Stream: id 35 | k_group 1 | q_n 3 | node0_0_2_3->node0_0_5_2 | period 200.0| deadline 23.68 | size 291| injection delay:0['node0_0_2_3', 'sw_0_2', 'sw_0_1', 'sw_0_0', 'sw_0_5', 'node0_0_5_2']['q7', 'q6', 'q5', 'q7']
Stream: id 117 | k_group 1 | q_n 3 | node0_0_4_1->node0_0_3_3 | period 40.0| deadline 33.44 | size 921| injection delay:0['node0_0_4_1', 'sw_0_4', 'sw_0_3', 'node0_0_3_3']['q7', 'q5']
